Heure;Voie 1;Voie 2;Voie 3;Voie 4;Voie 5;Voie 6;Voie 7;Voie 8;RSSI
12:37:55;0000;0000;0000;0000;0000;0000;0000;0000;047
12:37:58;0000;0000;0000;0000;0000;0000;0000;0000;048
12:38:02;0000;0000;0000;0000;0000;0000;0000;0000;048
12:38:05;0000;0000;0000;0000;0000;0000;0000;0000;048
12:38:09;0000;0000;0000;0000;0000;0000;0000;0000;046
12:38:12;0000;0000;0000;0000;0000;0000;0000;0000;044
12:38:16;0000;0000;0000;0000;0000;0000;0000;0000;044
12:38:20;0000;0000;0000;0000;0000;0000;0000;0000;051
12:38:23;0000;0000;0000;0000;0000;0000;0000;0000;045
12:39:07;0000;0000;0000;0000;0000;0000;0000;0000;043
12:39:10;0000;0000;0000;0000;0000;0000;0000;0000;042
12:39:13;0000;0000;0000;0000;0000;0000;0000;0000;043
12:39:16;0000;0000;0000;0000;0000;0000;0000;0000;043
12:39:19;0000;0000;0000;0000;0000;0000;0000;0000;044
