0.0rH ;49.0rH ;000.51°C ;22.38 hPa ;0.1; 82.1 -020.95°C ;825.58 hPa ; 021.25°C ;999.74 hPa ;0A 0.00 ;-0.00 ;0.99 ;-0.06 ;
G 0.18 ;0.18 ;-10.20.0rH ;48.0rH ;000.51°C ;22.40 hPa ;-0.1; 82.2-020.98°C ;825.58 hPa ; 021.29°C ;999.77 hPa ;0A -0.00 ;-0.00 ;1.00 ;0.06 ;
G -0.06 ;0.00 ;-11.0.0rH ;48.0rH ;000.51°C ;22.43 hPa ;0.1; 81.4 -021.01°C ;825.62 hPa ; 021.33°C ;999.80 hPa ;0A 0.01 ;-0.00 ;1.00 ;-0.49 ;
G -0.30 ;-0.24 ;-9.0.0rH ;48.0rH ;000.51°C ;22.46 hPa ;-0.5; 83.2-021.04°C ;825.56 hPa ; 021.36°C ;999.69 hPa ;0A 0.00 ;-0.00 ;1.00 ;0.06 ;
G 0.06 ;-0.06 ;-9.0 0.0rH ;48.0rH ;000.51°C ;22.50 hPa ;0.1; 82.1 -021.04°C ;825.48 hPa ; 021.39°C ;999.74 hPa ;0A 0.01 ;-0.00 ;0.99 ;-0.06 ;
G -0.06 ;0.18 ;-9.40.0rH ;48.0rH ;000.51°C ;22.55 hPa ;-0.1; 82.9-021.06°C ;825.50 hPa ; 021.42°C ;999.71 hPa ;0A -0.00 ;-0.00 ;1.00 ;0.06 ;
G -0.06 ;-0.18 ;-9.0.0rH ;48.0rH ;000.50°C ;22.60 hPa ;0.1; 82.9 -021.07°C ;825.53 hPa ; 021.44°C ;999.71 hPa ;0A 0.01 ;0.00 ;0.99 ;0.06 ;
G 0.00 ;-0.12 ;-9.3 ;0.0rH ;48.0rH ;000.50°C ;22.63 hPa ;0.1; 81.6 -021.08°C ;825.50 hPa ; 021.46°C ;999.66 hPa ;0A 0.01 ;0.00 ;1.01 ;-0.06 ;
G -0.30 ;-0.12 ;-9.40.0rH ;48.0rH ;000.50°C ;22.66 hPa ;-0.1; 81.2-021.07°C ;825.58 hPa ; 021.50°C ;999.71 hPa ;0A 0.01 ;0.00 ;1.00 ;-0.12 ;
G -32.56 ;-11.65 ;-50.0rH ;48.0rH ;000.50°C ;22.70 hPa ;-0.1; 82.3-021.03°C ;825.54 hPa ; 021.52°C ;999.71 hPa ;0A -0.00 ;0.00 ;1.00 ;-0.06 ;
G 0.18 ;0.24 ;-8.4 0.0rH ;48.0rH ;000.50°C ;22.70 hPa ;-0.1; 82.5-021.02°C ;825.54 hPa ; 021.54°C ;999.77 hPa ;0A -0.00 ;0.00 ;1.00 ;-0.12 ;
G 0.12 ;-0.12 ;-7.30.0rH ;48.0rH ;000.50°C ;22.73 hPa ;-0.1; 82.2-021.03°C ;825.62 hPa ; 021.57°C ;999.71 hPa ;0A 0.00 ;-0.00 ;0.99 ;0.06 ;
